country,code,year,life_expectancy,pm25,undernourishment,gdp_per_capita,log_gdp_per_capita
Afghanistan,AFG,2018,62.4434,70.25405,22.6,1888.814,3.276189193098738
Angola,AGO,2018,62.6219,25.85236,15.7,7180.3555,3.8561459467306403
Albania,ALB,2018,79.2377,19.75808,4.2,11426.92,4.057929186890526
United Arab Emirates,ARE,2018,82.4493,43.09622,3.6,74206.484,4.8704418546373915
Argentina,ARG,2018,76.7698,12.60073,3.5,18460.87,4.266252164040707
Armenia,ARM,2018,74.9783,37.0863,2.5,11490.369,4.060333975780591
Australia,AUS,2018,83.2582,7.10973,2.5,49614.387,4.695607629891591
Austria,AUT,2018,81.6859,12.67567,2.5,43032.215,4.633793701126
Azerbaijan,AZE,2018,73.0156,26.96124,2.5,16753.209,4.2240980064480995
Belgium,BEL,2018,81.4805,12.16104,2.5,40471.914,4.607153743555949
Benin,BEN,2018,59.7097,32.33744,11.4,2192.261,3.340892257892626
Burkina Faso,BFA,2018,59.9719,41.76688,14.5,1605.3588,3.205572113030778
Bangladesh,BGD,2018,72.1217,50.66434,12.8,4056.6465,3.6081671645226074
Bulgaria,BGR,2018,74.9325,20.39639,3.0,17982.424,4.254848233496646
Bosnia and Herzegovina,BIH,2018,77.9425,32.0164,2.5,10718.778,4.0301452762049275
Belarus,BLR,2018,74.3344,16.08948,2.5,18809.494,4.274377112617703
Bolivia,BOL,2018,67.6992,24.63357,14.5,6679.4385,3.8247399554993384
Brazil,BRA,2018,75.6335,11.15102,2.5,14197.55,4.152213406827999
Barbados,BRB,2018,76.3784,10.35542,2.5,12029.747,4.080256493702327
Botswana,BWA,2018,66.3709,12.94709,22.0,15515.622,4.190769190539139
Central African Republic,CAF,2018,52.2973,28.25056,21.4,619.18744,2.7918221382529755
Canada,CAN,2018,81.9247,7.09267,2.5,45087.887,4.654059882994691
Switzerland,CHE,2018,83.5639,10.01045,2.5,62185.477,4.793688969976794
Chile,CHL,2018,80.5594,21.46726,3.0,22175.664,4.345876632662439
China,CHN,2018,77.709,40.54193,2.5,15977.008,4.203495452653076
Cote d'Ivoire,CIV,2018,59.7946,41.80919,10.2,3497.8928,3.543806495513767
